Country,Capital,Population,Language,Continent
Afghanistan,Kabul,41100000,Pashto/Dari,Asia
Albania,Tirana,2800000,Albanian,Europe
Algeria,Algiers,44200000,Arabic/Berber,Africa
Andorra,Andorra la Vella,79000,Catalan,Europe
Angola,Luanda,36900000,Portuguese,Africa
Antigua and Barbuda,St. John's,93000,English,North America
Argentina,Buenos Aires,45700000,Spanish,South America
Armenia,Yerevan,2800000,Armenian,Asia
Australia,Canberra,26100000,English,Australia/Oceania
Austria,Vienna,8980000,German,Europe
Azerbaijan,Baku,10200000,Azerbaijani,Asia
Brazil,Brasilia,216284269,Portuguese,South America
Canada,Ottawa,38000000,French,North America
Chile,Santiago,19629590,Spanish,South America
Colombia,Bogota,52215503,Spanish,South America
Ecuador,Quito,17510643,Spanish,South America
Mexico,DF,126000000,Spanish,North America
Paraguay,Asuncion,6861524,Spanish,South America
Peru,Lima,33725844,Spanish,South America
USA,DC,331000000,English,North America
Venezuela,Caracas,32219500,Spanish,South America



